"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2019","1.1657","1.2092","1.2177","1.1455","20.97K","-3.59%"
"Aug 21, 2019","1.1226","1.1609","1.1678","1.1000","66.98K","-3.70%"
"Aug 22, 2019","1.1371","1.1214","1.1604","1.0953","44.83K","1.29%"
"Aug 23, 2019","1.1644","1.1382","1.2008","1.1308","24.18K","2.40%"
"Aug 24, 2019","1.1488","1.1681","1.1805","1.1142","45.45K","-1.34%"
"Aug 25, 2019","1.1355","1.1442","1.1626","1.1163","9.60K","-1.16%"
"Aug 26, 2019","1.1679","1.1319","1.1893","1.1270","44.40K","2.85%"
"Aug 27, 2019","1.1283","1.1699","1.1776","1.1222","49.70K","-3.39%"
"Aug 28, 2019","1.0546","1.1280","1.1333","1.0256","40.06K","-6.53%"
"Aug 29, 2019","0.9977","1.0546","1.0693","0.9901","68.60K","-5.40%"
"Aug 30, 2019","1.0661","1.0027","1.0693","0.9903","69.05K","6.86%"
"Aug 31, 2019","1.0377","1.0660","1.1790","1.0008","56.66K","-2.66%"
"Sep 01, 2019","1.0329","1.0426","1.0592","1.0109","23.33K","-0.46%"
"Sep 02, 2019","1.0541","1.0310","1.0790","1.0239","22.32K","2.05%"
"Sep 03, 2019","1.0341","1.0527","1.0705","1.0165","33.05K","-1.90%"
"Sep 04, 2019","1.0289","1.0368","1.0499","1.0125","38.99K","-0.50%"
"Sep 05, 2019","1.0123","1.0342","1.0507","1.0009","44.28K","-1.61%"
"Sep 06, 2019","0.9988","1.0126","1.0279","0.9883","32.02K","-1.33%"
"Sep 07, 2019","1.0209","1.0133","1.0512","0.9693","38.02K","2.21%"
"Sep 08, 2019","1.0680","1.0227","1.0728","1.0177","47.44K","4.61%"
"Sep 09, 2019","1.0401","1.0628","1.1200","1.0205","33.72K","-2.61%"
"Sep 10, 2019","1.0311","1.0382","1.0487","1.0149","32.75K","-0.87%"
"Sep 11, 2019","1.0052","1.0252","1.0454","0.9873","22.96K","-2.51%"
"Sep 12, 2019","1.0122","1.0046","1.0353","0.9859","28.62K","0.70%"
"Sep 13, 2019","0.9781","1.0159","1.0197","0.9529","24.40K","-3.37%"
"Sep 14, 2019","0.9977","0.9803","1.0143","0.9573","11.42K","2.00%"
"Sep 15, 2019","1.0006","0.9975","1.0275","0.9719","29.55K","0.29%"
"Sep 16, 2019","0.9973","1.0023","1.0198","0.9771","18.02K","-0.33%"
"Sep 17, 2019","1.1011","0.9989","1.1372","0.9890","128.59K","10.41%"
"Sep 18, 2019","1.0836","1.0880","1.1879","1.0715","69.68K","-1.59%"
"Sep 19, 2019","1.0952","1.0827","1.1245","1.0301","55.32K","1.07%"
"Sep 20, 2019","1.0616","1.0927","1.1279","1.0492","47.60K","-3.07%"
"Sep 21, 2019","1.0681","1.0616","1.0789","1.0545","24.01K","0.61%"
"Sep 22, 2019","1.0499","1.0693","1.0755","1.0456","25.77K","-1.70%"
"Sep 23, 2019","1.0523","1.0526","1.1540","1.0141","410.20K","0.23%"
"Sep 24, 2019","0.8863","1.0535","1.0909","0.8069","254.81K","-15.77%"
"Sep 25, 2019","0.8429","0.8857","0.9510","0.8114","106.80K","-4.90%"
"Sep 26, 2019","0.8426","0.8467","0.9069","0.8116","98.04K","-0.04%"
"Sep 27, 2019","0.8863","0.8396","0.8943","0.8107","24.69K","5.19%"
"Sep 28, 2019","0.8900","0.8863","0.9085","0.8550","21.05K","0.42%"
"Sep 29, 2019","0.8772","0.8902","0.9023","0.8558","72.90K","-1.44%"
"Sep 30, 2019","0.8964","0.8753","0.9196","0.8402","34.74K","2.19%"
"Oct 01, 2019","0.9455","0.8961","1.0085","0.8900","19.11K","5.48%"
"Oct 02, 2019","0.9425","0.9534","0.9534","0.8843","28.25K","-0.32%"
"Oct 03, 2019","0.9286","0.9431","0.9669","0.9050","12.84K","-1.47%"
"Oct 04, 2019","0.9147","0.9275","0.9437","0.8929","24.38K","-1.50%"
"Oct 05, 2019","0.9071","0.9154","0.9215","0.8949","14.91K","-0.83%"
"Oct 06, 2019","0.8666","0.9089","0.9173","0.8600","31.35K","-4.46%"
"Oct 07, 2019","0.8978","0.8664","0.9241","0.8517","30.35K","3.60%"
"Oct 08, 2019","0.8952","0.8993","0.9107","0.8912","15.07K","-0.29%"
"Oct 09, 2019","0.9367","0.9002","0.9546","0.8865","49.61K","4.64%"
"Oct 10, 2019","0.9137","0.9378","0.9465","0.9101","40.00K","-2.46%"
"Oct 11, 2019","0.9092","0.9137","0.9199","0.8786","28.92K","-0.49%"
"Oct 12, 2019","0.8889","0.9089","0.9114","0.8885","10.27K","-2.23%"
"Oct 13, 2019","0.9044","0.8892","0.9381","0.8820","32.31K","1.74%"
"Oct 14, 2019","0.9384","0.9064","0.9387","0.8966","13.77K","3.76%"
"Oct 15, 2019","0.9030","0.9369","0.9392","0.9013","10.29K","-3.77%"
"Oct 16, 2019","0.8716","0.9030","0.9077","0.8547","28.34K","-3.48%"
"Oct 17, 2019","0.8912","0.8708","0.8948","0.8673","25.14K","2.25%"
"Oct 18, 2019","0.8784","0.8902","0.8961","0.8675","20.63K","-1.44%"
"Oct 19, 2019","0.8571","0.8780","0.8883","0.8537","12.14K","-2.42%"
"Oct 20, 2019","0.8686","0.8557","0.8757","0.8528","15.07K","1.34%"
"Oct 21, 2019","0.8626","0.8686","0.8873","0.8614","19.16K","-0.69%"
"Oct 22, 2019","0.8315","0.8669","0.8773","0.8266","22.14K","-3.61%"
"Oct 23, 2019","0.7581","0.8306","0.8383","0.7510","63.70K","-8.83%"
"Oct 24, 2019","0.7643","0.7595","0.7881","0.7415","29.94K","0.82%"
"Oct 25, 2019","0.8330","0.7625","0.8467","0.7550","61.69K","8.99%"
"Oct 26, 2019","0.8332","0.8296","0.9629","0.8100","60.37K","0.02%"
"Oct 27, 2019","0.8801","0.8332","0.8892","0.8310","20.04K","5.63%"
"Oct 28, 2019","0.8813","0.8801","0.9485","0.8745","19.75K","0.14%"
"Oct 29, 2019","0.8919","0.8827","0.9350","0.8414","51.45K","1.20%"
"Oct 30, 2019","0.9634","0.8917","1.1182","0.8608","273.42K","8.02%"
"Oct 31, 2019","0.8836","0.9667","0.9844","0.8666","183.56K","-8.28%"
"Nov 01, 2019","0.8737","0.8820","0.8861","0.8588","106.35K","-1.12%"
"Nov 02, 2019","0.8594","0.8734","0.8782","0.8565","67.73K","-1.64%"
"Nov 03, 2019","0.8625","0.8609","0.8657","0.8480","38.39K","0.36%"
"Nov 04, 2019","0.8872","0.8625","0.9048","0.8605","181.54K","2.86%"
"Nov 05, 2019","0.9219","0.8872","0.9280","0.8764","198.20K","3.91%"
"Nov 06, 2019","1.0080","0.9219","1.0468","0.9011","252.90K","9.34%"
"Nov 07, 2019","1.2058","1.0136","1.6799","1.0135","2.64M","19.62%"
"Nov 08, 2019","1.1626","1.1965","1.2862","1.1207","615.79K","-3.58%"
"Nov 09, 2019","1.2597","1.1622","1.2684","1.1452","221.22K","8.35%"
"Nov 10, 2019","1.2235","1.2637","1.2643","1.1810","168.57K","-2.87%"
"Nov 11, 2019","1.1720","1.2170","1.2466","1.1686","96.30K","-4.21%"
"Nov 12, 2019","1.1659","1.1719","1.2006","1.1481","58.57K","-0.52%"
"Nov 13, 2019","1.1268","1.1661","1.1687","1.1127","92.16K","-3.35%"
"Nov 14, 2019","1.2160","1.1273","1.2917","1.0965","288.09K","7.92%"
"Nov 15, 2019","1.1666","1.2160","1.2585","1.1300","130.95K","-4.06%"
"Nov 16, 2019","1.1573","1.1666","1.1724","1.1477","34.67K","-0.80%"
"Nov 17, 2019","1.1544","1.1565","1.1712","1.1446","33.90K","-0.25%"
"Nov 18, 2019","1.2151","1.1548","1.2500","1.1501","209.42K","5.26%"
"Nov 19, 2019","1.2079","1.2141","1.2391","1.1439","149.35K","-0.59%"
"Nov 20, 2019","1.2063","1.2085","1.2429","1.1599","164.97K","-0.13%"
"Nov 21, 2019","1.2181","1.2073","1.2974","1.1816","378.03K","0.98%"
"Nov 22, 2019","1.2183","1.2161","1.2782","1.0766","318.64K","0.02%"
"Nov 23, 2019","1.3803","1.2183","1.4198","1.2168","992.57K","13.30%"
"Nov 24, 2019","1.3112","1.3796","1.4071","1.2803","208.68K","-5.01%"
"Nov 25, 2019","1.2271","1.3106","1.3137","1.1899","336.53K","-6.41%"
"Nov 26, 2019","1.2144","1.2275","1.2758","1.1885","320.37K","-1.03%"
"Nov 27, 2019","1.2077","1.2079","1.2353","1.1207","126.36K","-0.55%"
"Nov 28, 2019","1.2682","1.2071","1.3404","1.1978","79.66K","5.01%"
"Nov 29, 2019","1.2844","1.2676","1.3433","1.2659","56.59K","1.28%"
"Nov 30, 2019","1.3139","1.2830","1.3263","1.2814","33.47K","2.30%"
"Dec 01, 2019","1.2511","1.3116","1.3206","1.2386","46.21K","-4.78%"
"Dec 02, 2019","1.2404","1.2527","1.2527","1.1948","54.98K","-0.86%"
"Dec 03, 2019","1.2898","1.2404","1.3060","1.2047","189.44K","3.98%"
"Dec 04, 2019","1.2405","1.2911","1.3256","1.2397","177.24K","-3.82%"
